model,reference,code,name,address,datatype,scale,default,min,max,unit,access,monitor,write_protect,scope,group,subcategory,functional_area,safety_class,write_policy,display_order,logic_address_hex,canopen_index,cip_path,link,source_category,display,menu,notes
XD4000,ALL,NCV,Drive nominal rating,3011,uint16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Read Only,Read only,1011,16#0BC3,16#2000/C,16#70/01/0C = 112/01/12,NCV,Identification parameters,,,Factory: [Unknown rating] NO; Range: ; Source access: R; Source type: WORD (Enumeration)
XD4000,ALL,PAN7,Device name (char 15 and 16),3347,int16,1.0,0,0.0,65535.0,,RW,FALSE,TRUE,FALSE,Drive Identification,Drive Identification,Drive Identification,Controlled Write,Write protected by default,1347,16#0D13,16#2003/30,16#71/01/94 = 113/01/148,,Identification parameters,,,Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,ADD,Device modbus address,6001,int16,1.0,0,0.0,247.0,,RW,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Controlled Write,Write protected by default,2001,16#1771,16#201E/2,16#7F/01/02 = 127/01/02,,Configuration and settings,[Modbus Address] (ADD),[Modbus Fieldbus] (MD1),Factory: 0; Range: 0  ... 247; Source access: R/WS; Source type: UINT (Unsigned16)
XD4000,ALL,TBR,Modbus baud rate,6003,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Controlled Write,Write protected by default,2003,16#1773,16#201E/4,16#7F/01/04 = 127/01/04,TBR,Configuration and settings,[Modbus Baud Rate] (TBR),[Modbus Fieldbus] (MD1),Factory: [19200 bps] 19200; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,TFO,Modbus format,6004,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Controlled Write,Write protected by default,2004,16#1774,16#201E/5,16#7F/01/05 = 127/01/05,FOR,Configuration and settings,[Modbus Format] (TFO),[Modbus Fieldbus] (MD1),Factory: [8 bits even parity 1 stop bit] 8E1; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,TTO,Modbus timeout,6005,int16,0.1,0,0.1,30.0,s,RW,TRUE,FALSE,FALSE,Communication,Modbus,Modbus,Controlled Write,Selected-row write with readback,2005,16#1775,16#201E/6,16#7F/01/06 = 127/01/06,,Configuration and settings,[ModbusTimeout] (TTO),[Modbus Fieldbus] (MD1),Factory: 10.0 s; Range: 0.1 s ... 30.0 s; Source access: R/WS; Source type: UINT (Unsigned16)
XD4000,ALL,TWO,Terminal Modbus: Word order,6006,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Controlled Write,Write protected by default,2006,16#1776,16#201E/7,16#7F/01/07 = 127/01/07,TWO,Configuration and settings,[Term word order] (TWO),[Modbus Fieldbus] (MD1),Factory: [Modbus Word Order ON] HIGH; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,M1EC,Mdb NET CRC errors,6010,int16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Read Only,Read only,2010,16#177A,16#201E/B,16#7F/01/0B = 127/01/11,,Status parameters,[Mb NET CRC errors] (M1EC),[Modbus network diag] (MND),Factory: ; Range: 0  ... 65535; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,SLL,Response to Modbus interruption,7010,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Controlled Write,Write protected by default,2010,16#1B62,16#2028/B,16#84/01/0B = 132/01/11,ECFG,Configuration and settings,[Modbus Error Resp] (SLL),[Fieldbus monitoring] (CLL),Factory: [Freewheel stop] YES; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,COL,Response to CANopen error,7011,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,CANopen,CANopen,Controlled Write,Write protected by default,2011,16#1B63,16#2028/C,16#84/01/0C = 132/01/12,ECFG,Configuration and settings,[CANopen Error Resp] (COL),[Communication Module] (COMO),Factory: [Freewheel stop] YES; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,M1CT,Mdb frame number,6011,int16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Read Only,Read only,2011,16#177B,16#201E/C,16#7F/01/0C = 127/01/12,,Status parameters,[Mdb Frame Nb] (M1CT),[Modbus network diag] (MND),Factory: ; Range: 0  ... 65535; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,CLL,Response to Fieldbus module communication interruption,7015,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Communication,Communication,Controlled Write,Write protected by default,2015,16#1B67,16#2028/10,16#84/01/10 = 132/01/16,ECFG,Configuration and settings,[Fieldbus Interrupt Resp] (CLL),[Communication Module] (COMO),Factory: [Freewheel stop] YES; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,ETHL,Ethernet error response,7021,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Embedded Ethernet,Embedded Ethernet,Controlled Write,Write protected by default,2021,16#1B6D,16#2028/16,16#84/01/16 = 132/01/22,ECFG,Configuration and settings,[Eth Error Response] (ETHL),[Embedded modbus TCP] (EMTC) [Communication Module] (COMO),Factory: [Freewheel stop] YES; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,TBR2,Modbus 2 baud rate,6023,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Controlled Write,Write protected by default,2023,16#1787,16#201E/18,16#7F/01/18 = 127/01/24,TBR,Configuration and settings,[Modbus 2 baud rate] (TBR2),[Modbus HMI] (MD2),Factory: [19200 bps] 19200; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,AFFL,Fieldbus communication loss fallback channel,7024,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Controlled Write,Write protected by default,2024,16#1B70,16#2028/19,16#84/01/19 = 132/01/25,AFFL,Configuration and settings,[Fallback Channel] (AFFL),[Fieldbus monitoring] (CLL) [Embedded modbus TCP] (EMTC) [Communication Module] (COMO),Factory: [Not active] NO; Range: ; Source access: R/W; Source type: WORD (Enumeration)
XD4000,ALL,TFO2,Modbus 2 format,6024,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Controlled Write,Write protected by default,2024,16#1788,16#201E/19,16#7F/01/19 = 127/01/25,FOR,Configuration and settings,[Modbus 2 format] (TFO2),[Modbus HMI] (MD2),Factory: [8 bits even parity 1 stop bit] 8E1; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,TWO2,Terminal Modbus 2: Word order,6026,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Controlled Write,Write protected by default,2026,16#178A,16#201E/1B,16#7F/01/1B = 127/01/27,TWO,Configuration and settings,[Term 2 word order] (TWO2),[Modbus HMI] (MD2),Factory: [Modbus Word Order ON] HIGH; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,M2EC,Mdb NET CRC errors,6030,int16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Read Only,Read only,2030,16#178E,16#201E/1F,16#7F/01/1F = 127/01/31,,Status parameters,[Mdb NET CRC errors] (M2EC),[Modbus HMI Diag] (MDH),Factory: ; Range: 0  ... 65535; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,M2CT,Mdb NET frames,6031,int16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Read Only,Read only,2031,16#178F,16#201E/20,16#7F/01/20 = 127/01/32,,Status parameters,[Mdb NET frames] (M2CT),[Modbus HMI Diag] (MDH),Factory: ; Range: 0  ... 65535; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,CMDC,Command channel,64040,uint16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,Communication,Communication,Read Only,Read only,2040,16#FA28,,,CNL,Status parameters,[Command Channel] (CMDC),[Communication map] (CMM),Factory: ; Range: ; Source access: R; Source type: WORD (Enumeration)
XD4000,ALL,RFCC,Channel for reference frequency,64041,uint16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,Communication,Communication,Read Only,Read only,2041,16#FA29,,,CNL,Status parameters,[Ref Freq Channel] (RFCC),[Communication map] (CMM),Factory: ; Range: ; Source access: R; Source type: WORD (Enumeration)
XD4000,ALL,COM1,Modbus com. status,64047,uint16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Read Only,Read only,2047,16#FA2F,,,COM1,Status parameters,[Mdb com stat] (COM1),[Modbus Fieldbus] (MD1),Factory: ; Range: ; Source access: R; Source type: WORD (Enumeration)
XD4000,ALL,COM2,Mdb com stat,64048,uint16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Read Only,Read only,2048,16#FA30,,,COM1,Status parameters,[Mdb com stat] (COM2),[Modbus HMI] (MD2),Factory: ; Range: ; Source access: R; Source type: WORD (Enumeration)
XD4000,ALL,ADCO,Device CANopen address,6051,int16,1.0,0,0.0,127.0,,RW,TRUE,TRUE,FALSE,Communication,CANopen,CANopen,Controlled Write,Write protected by default,2051,16#17A3,16#201E/34,16#7F/01/34 = 127/01/52,,Configuration and settings,[CANopen Address] (ADCO),[CANopen] (CNO),Factory: 0; Range: 0  ... 127; Source access: R/WS; Source type: UINT (Unsigned16)
XD4000,ALL,BDCO,CANopen baudrate,6053,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,CANopen,CANopen,Controlled Write,Write protected by default,2053,16#17A5,16#201E/36,16#7F/01/36 = 127/01/54,BDCO,Configuration and settings,[CANopen Baudrate] (BDCO),[CANopen] (CNO),Factory: [Baud rate 250kbps] 250K; Range: ; Source access: R/WS; Source type: WORD (Enumeration)
XD4000,ALL,ERCO,CANopen error,6056,int16,1.0,0,0.0,5.0,,RO,TRUE,TRUE,FALSE,Communication,CANopen,CANopen,Read Only,Read only,2056,16#17A8,16#201E/39,16#7F/01/39 = 127/01/57,,Configuration and settings,[CANopen Error] (ERCO),[CANopen map] (CNM) [CANopen] (CNO),Factory: ; Range: 0  ... 5; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,NMTS,Canopen NMT state,6057,uint16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,CANopen,CANopen,Read Only,Read only,2057,16#17A9,16#201E/3A,16#7F/01/3A = 127/01/58,NMTS,Status parameters,[Canopen NMT state] (NMTS),[CANopen map] (CNM),Factory: ; Range: ; Source access: R; Source type: WORD (Enumeration)
XD4000,ALL,TEC1,TX error counter,6058,int16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,CANopen,CANopen,Read Only,Read only,2058,16#17AA,16#201E/3B,16#7F/01/3B = 127/01/59,,Status parameters,[TX Error Counter] (TEC1),[CANopen map] (CNM),Factory: ; Range: 0  ... 65535; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,REC1,RX error counter,6059,int16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,CANopen,CANopen,Read Only,Read only,2059,16#17AB,16#201E/3C,16#7F/01/3C = 127/01/60,,Status parameters,[RX Error Counter] (REC1),[CANopen map] (CNM),Factory: ; Range: 0  ... 65535; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,NBTP,Number of TX PDO,13070,int16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,CANopen,CANopen,Read Only,Read only,2070,16#330E,16#2064/47,16#A2/01/47 = 162/01/71,,Configuration and settings,[Number of TX PDO] (NBTP),[CANopen map] (CNM),Factory: ; Range: 0  ... 65535; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,PEV1,TPDO1 Event mask,6070,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Communication,Communication,Controlled Write,Write protected by default,2070,16#17B6,16#201E/47,16#7F/01/47 = 127/01/71,,Communication parameters,,,Factory: 15; Range: ; Source access: R/WS; Source type: WORD (BitString16)
XD4000,ALL,NBRP,Number of RX PDO,13071,int16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,CANopen,CANopen,Read Only,Read only,2071,16#330F,16#2064/48,16#A2/01/48 = 162/01/72,,Configuration and settings,[Number of RX PDO] (NBRP),[CANopen map] (CNM),Factory: ; Range: 0  ... 65535; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,PEV2,TPDO2 Event mask,6071,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Communication,Communication,Controlled Write,Write protected by default,2071,16#17B7,16#201E/48,16#7F/01/48 = 127/01/72,,Communication parameters,,,Factory: 15; Range: ; Source access: R/WS; Source type: WORD (BitString16)
XD4000,ALL,PEV3,TPDO3 Event mask,6072,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Communication,Communication,Controlled Write,Write protected by default,2072,16#17B8,16#201E/49,16#7F/01/49 = 127/01/73,,Communication parameters,,,Factory: 15; Range: ; Source access: R/WS; Source type: WORD (BitString16)
XD4000,ALL,PEV4,TPDO4 Event mask,6073,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Communication,Communication,Controlled Write,Write protected by default,2073,16#17B9,16#201E/4A,16#7F/01/4A = 127/01/74,,Communication parameters,,,Factory: 15; Range: ; Source access: R/WS; Source type: WORD (BitString16)
XD4000,ALL,LFF,Fall back speed,7080,int16,0.1,0,0.0,599.0,Hz,RW,TRUE,TRUE,FALSE,Communication,Modbus,Modbus,Controlled Write,Write protected by default,2080,16#1BA8,16#2028/51,16#84/01/51 = 132/01/81,,Configuration and settings,[FallbackSpeed] (LFF),[4-20 mA loss] (LFL) [External error] (ETF) [Communication Module] (COMO) [Fieldbus monitoring] (CLL) [Fallback speed] (LFF) [Embedded modbus TCP] (EMTC) [Pumpcycle monitoring] (CSP) [Thermal monitoring] (TPP) [Thermal monitoring] (TPP) [Thermal monitoring] (TPP) [M/S System Architecture] (MSA),Factory: 0.0 Hz; Range: 0.0 Hz ... 599.0 Hz; Source access: R/WS; Source type: UINT (Unsigned16)
XD4000,ALL,MLTO,MultiDrive Link communication timeout,6085,int16,0.01,0,0.01,10.0,s,RW,TRUE,TRUE,FALSE,Communication,Communication,Communication,Controlled Write,Write protected by default,2085,16#17C5,16#201E/56,16#7F/01/56 = 127/01/86,,Configuration and settings,[MDL Comm Timeout] (MLTO),[M/S System Architecture] (MSA),Factory: 0.05 s; Range: 0.01 s ... 10.00 s; Source access: R/WS; Source type: UINT (Unsigned16)
XD4000,ALL,CNF,Fieldbus module Communication interruption,7132,int16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,PROFIBUS,PROFIBUS,Controlled Write,Write protected by default,2132,16#1BDC,16#2029/21,16#84/01/85 = 132/01/133,,Fault parameters,[Fieldbus Com Interrupt] (CNF),[DEVICENET DIAG] (DVN) [PROFIBUS DIAG] (PRB) [PROFINET DIAG] (PRN) [EtherCAT Module Diag] (ETD) [POWERLINK DIAG] (PWL),Factory: ; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,ILF1,Internal communication interruption 1,7134,int16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,PROFIBUS,PROFIBUS,Controlled Write,Write protected by default,2134,16#1BDE,16#2029/23,16#84/01/87 = 132/01/135,,Fault parameters,[InternCom Error1] (ILF1),[PROFIBUS DIAG] (PRB) [PROFINET DIAG] (PRN) [EtherCAT Module Diag] (ETD) [POWERLINK DIAG] (PWL),Factory: ; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,ETHF,Ethernet embedded fault (ETHF),7136,int16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Embedded Ethernet,Embedded Ethernet,Controlled Write,Write protected by default,2136,16#1BE0,16#2029/25,16#84/01/89 = 132/01/137,,Fault parameters,,,Factory: ; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,ETA,Status Register,3201,uint16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,Communication,Communication,Read Only,Read only,2201,16#0C81,16#2002/2,16#71/01/02 = 113/01/02,,Status parameters,[Status Register] (ETA),[Communication map] (CMM),Factory: ; Range: ; Source access: R; Source type: WORD (BitString16)
XD4000,ALL,FRH,Reference frequency before ramp,3203,int16,0.1,0,-599.0,599.0,Hz,RO,TRUE,TRUE,TRUE,Communication,Communication,Communication,Read Only,Read only,2203,16#0C83,16#2002/4,16#71/01/04 = 113/01/04,,Reference parameters,[Pre-Ramp Ref Freq] (FRH),[System] (DST) [Drive parameters] (MPI) [Communication map] (CMM),Factory: ; Range: -599.0 Hz ... 599.0 Hz; Source access: R; Source type: INT (Signed16)
XD4000,ALL,IPM,IP mode,64250,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,PROFINET,PROFINET,Controlled Write,Write protected by default,2250,16#FAFA,,,IPM,Configuration and settings,[IP mode] (IPM),[Profinet] (PNC),Factory: Refer to programming manual; Range: ; Source access: R/W; Source type: WORD (Enumeration)
XD4000,ALL,ARD,Actual rate and duplex,64266,uint16,1.0,0,0.0,65535.0,,RO,TRUE,TRUE,FALSE,Communication,Embedded Ethernet,Embedded Ethernet,Read Only,Read only,2266,16#FB0A,,,RDS,Configuration and settings,[Actual rate] (ARD),[Ethernet Module Diag] (MTE),Factory: ; Range: ; Source access: R; Source type: WORD (Enumeration)
XD4000,ALL,ERR,Ethernet error Code,64270,int16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Embedded Ethernet,Embedded Ethernet,Controlled Write,Write protected by default,2270,16#FB0E,,,,Fault parameters,[Ethernet Error Code] (ERR),[PROFINET DIAG] (PRN),Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,IPAV,iPar service activation,64274,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,PROFINET,PROFINET,Controlled Write,Write protected by default,2274,16#FB12,,,N_Y,Configuration and settings,[iPar Activation] (IPAV),[Profinet] (PNC),Factory: [No] NO; Range: ; Source access: R/W; Source type: WORD (Enumeration)
XD4000,ALL,IPAS,iPar autosave activation,64275,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,PROFINET,PROFINET,Controlled Write,Write protected by default,2275,16#FB13,,,N_Y,Configuration and settings,[iPar Autosave Act] (IPAS),[Profinet] (PNC),Factory: [No] NO; Range: ; Source access: R/W; Source type: WORD (Enumeration)
XD4000,ALL,ICFG,iPAR local configuration,64276,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,PROFINET,PROFINET,Controlled Write,Write protected by default,2276,16#FB14,,,N_Y,Configuration and settings,[iPar Local Conf] (ICFG),[Profinet] (PNC),Factory: [No] NO; Range: ; Source access: R/W; Source type: WORD (Enumeration)
XD4000,ALL,IPAF,iPar response to detected error,64277,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,PROFINET,PROFINET,Controlled Write,Write protected by default,2277,16#FB15,,,N_Y,Configuration and settings,[iPar Error Response] (IPAF),[Profinet] (PNC),Factory: [Yes] YES; Range: ; Source access: R/W; Source type: WORD (Enumeration)
XD4000,ALL,IPAT,iPar autosave timer,64278,int16,1.0,0,0.0,9999.0,,RW,TRUE,TRUE,FALSE,Communication,PROFINET,PROFINET,Controlled Write,Write protected by default,2278,16#FB16,,,,Configuration and settings,[iPar Autosave Timer] (IPAT),[Profinet] (PNC),Factory: 10; Range: 0  ... 9999; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,IPAE,iPar service status,64279,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,PROFINET,PROFINET,Controlled Write,Write protected by default,2279,16#FB17,,,IPAE,Configuration and settings,[iPar Status] (IPAE),[PROFINET DIAG] (PRN),Factory: [Idle State] IDLE; Range: ; Source access: R/W; Source type: WORD (Enumeration)
XD4000,ALL,IPAD,iPar detected error code,64280,int16,1.0,0,0.0,5.0,,RO,TRUE,TRUE,FALSE,Communication,PROFINET,PROFINET,Read Only,Read only,2280,16#FB18,,,,Communication parameters,[iPar Error Code] (IPAD),[PROFINET DIAG] (PRN),Factory: ; Range: 0  ... 5; Source access: R; Source type: UINT (Unsigned16)
XD4000,ALL,IM00,IP mode Ethernet Embd,64400,uint16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Embedded Ethernet,Embedded Ethernet,Controlled Write,Write protected by default,2400,16#FB90,,,IPM,Configuration and settings,[IP Mode Ether. Embd] (IM00),[Embd Eth Config] (ETE),Factory: [DHCP] DHCP; Range: ; Source access: R/W; Source type: WORD (Enumeration)
XD4000,ALL,OMA1,Scan input 1 address,15401,int16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,DeviceNet,DeviceNet,Controlled Write,Write protected by default,2401,16#3C29,16#207C/2,16#AE/01/02 = 174/01/02,,Configuration and settings,[Scan. IN1 address] (OMA1),[DeviceNet] (DNC),Factory: 3201; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,OMA2,Scan input 2 address,15402,int16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,DeviceNet,DeviceNet,Controlled Write,Write protected by default,2402,16#3C2A,16#207C/3,16#AE/01/03 = 174/01/03,,Configuration and settings,[Scan. IN2 address] (OMA2),[DeviceNet] (DNC),Factory: 8604; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,OMA3,Scan input 3 address,15403,int16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,DeviceNet,DeviceNet,Controlled Write,Write protected by default,2403,16#3C2B,16#207C/4,16#AE/01/04 = 174/01/04,,Configuration and settings,[Scan. IN3 address] (OMA3),[DeviceNet] (DNC),Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,OMA4,Scan input 4 address,15404,int16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,DeviceNet,DeviceNet,Controlled Write,Write protected by default,2404,16#3C2C,16#207C/5,16#AE/01/05 = 174/01/05,,Configuration and settings,[Scan. IN4 address] (OMA4),[DeviceNet] (DNC),Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
XD4000,ALL,OMA7,Scan input 7 address,15407,int16,1.0,0,0.0,65535.0,,RW,TRUE,TRUE,FALSE,Communication,Communication,Communication,Controlled Write,Write protected by default,2407,16#3C2F,16#207C/8,16#AE/01/08 = 174/01/08,,Communication parameters,,,Factory: 0; Range: 0  ... 65535; Source access: R/W; Source type: UINT (Unsigned16)
